Source,Target,Type,Id,year
56,172,Undirected,227,1992
56,267,Undirected,228,1992
56,286,Undirected,229,1992
57,90,Undirected,230,2010
57,202,Undirected,231,2010
58,77,Undirected,232,1994
59,172,Undirected,233,1992
59,267,Undirected,234,1992
59,286,Undirected,235,1992
60,75,Undirected,236,2007
60,90,Undirected,237,2010
60,150,Undirected,238,2007
60,176,Undirected,239,2007
60,202,Undirected,240,2010
60,220,Undirected,241,2007
60,236,Undirected,242,2007
60,265,Undirected,243,2010
61,169,Undirected,244,2009
61,189,Undirected,245,2009
62,89,Undirected,246,2007
62,129,Undirected,247,2007
62,148,Undirected,248,2007
62,248,Undirected,249,2007
62,272,Undirected,250,2007
63,90,Undirected,251,2010
63,202,Undirected,252,2010
63,265,Undirected,253,2010
64,73,Undirected,254,1988
64,107,Undirected,255,1988
64,224,Undirected,256,1988
65,77,Undirected,257,1994
66,126,Undirected,258,1996
66,147,Undirected,259,1996
66,157,Undirected,260,1996
67,172,Undirected,261,1992
67,267,Undirected,262,1992
68,100,Undirected,263,2018
68,170,Undirected,264,2018
68,199,Undirected,265,2018
69,123,Undirected,266,2012
69,154,Undirected,267,2012
69,237,Undirected,268,2012
70,168,Undirected,269,2008
70,188,Undirected,270,2008
70,197,Undirected,271,2008
70,201,Undirected,272,2008
70,210,Undirected,273,2008
70,219,Undirected,274,2008
70,227,Undirected,275,2008
70,246,Undirected,276,2008
70,264,Undirected,277,2008
70,282,Undirected,278,2008
71,159,Undirected,279,2008
71,259,Undirected,280,2008
72,100,Undirected,281,2018
72,170,Undirected,282,2018
73,81,Undirected,283,1988
73,92,Undirected,284,1988
73,107,Undirected,285,1988
73,108,Undirected,286,1988
73,153,Undirected,287,1988
73,209,Undirected,288,1988
73,222,Undirected,289,1988
73,224,Undirected,290,1988
73,276,Undirected,291,1988
73,284,Undirected,292,1988
74,77,Undirected,293,1994
75,150,Undirected,294,2007
75,176,Undirected,295,2007
75,220,Undirected,296,2007
75,236,Undirected,297,2007
76,212,Undirected,298,2014
76,270,Undirected,299,2014
76,274,Undirected,300,2014
77,84,Undirected,301,1994
77,87,Undirected,302,1994
77,93,Undirected,303,1994
77,94,Undirected,304,1994
77,105,Undirected,305,1994
77,119,Undirected,306,1994
77,124,Undirected,307,1994
77,131,Undirected,308,1994
77,132,Undirected,309,1994
77,133,Undirected,310,1994
77,138,Undirected,311,1994
77,139,Undirected,312,1994
77,141,Undirected,313,1994
77,143,Undirected,314,1994
77,151,Undirected,315,1994
77,152,Undirected,316,1994
77,155,Undirected,317,1994
77,156,Undirected,318,1994
77,162,Undirected,319,1994
77,171,Undirected,320,1994
77,185,Undirected,321,1994
77,207,Undirected,322,1994
77,211,Undirected,323,1994
77,215,Undirected,324,1994
77,218,Undirected,325,1994
77,230,Undirected,326,1994
77,234,Undirected,327,1994
77,239,Undirected,328,1994
77,241,Undirected,329,1994
77,252,Undirected,330,1994
77,261,Undirected,331,1994
77,263,Undirected,332,1994
77,283,Undirected,333,1994
77,287,Undirected,334,1994
78,163,Undirected,335,2002
78,173,Undirected,336,2002
78,175,Undirected,337,2002
78,221,Undirected,338,2002
78,225,Undirected,339,2002
78,245,Undirected,340,2002
78,256,Undirected,341,2002
79,100,Undirected,342,2018
79,170,Undirected,343,2018
79,199,Undirected,344,2018
80,164,Undirected,345,2018
81,107,Undirected,346,1988
81,224,Undirected,347,1988
82,172,Undirected,348,1992
82,267,Undirected,349,1992
82,286,Undirected,350,1992
83,159,Undirected,351,2008
83,259,Undirected,352,2008
84,156,Undirected,353,1994
85,90,Undirected,354,2010
85,202,Undirected,355,2010
85,265,Undirected,356,2010
86,90,Undirected,357,2010
86,202,Undirected,358,2010
88,122,Undirected,359,2007
88,134,Undirected,360,2007
88,146,Undirected,361,2007
88,165,Undirected,362,2007
88,179,Undirected,363,2007
88,217,Undirected,364,2007
88,226,Undirected,365,2007
89,129,Undirected,366,2007
89,248,Undirected,367,2007
89,272,Undirected,368,2007
90,96,Undirected,369,2010
90,98,Undirected,370,2010
90,128,Undirected,371,2010
90,140,Undirected,372,2010
90,166,Undirected,373,2010
90,180,Undirected,374,2010
90,200,Undirected,375,2010
90,202,Undirected,376,2010
90,203,Undirected,377,2010
90,206,Undirected,378,2010
90,223,Undirected,379,2010
90,253,Undirected,380,2010
90,258,Undirected,381,2010
90,259,Undirected,382,2010
90,260,Undirected,383,2010
90,265,Undirected,384,2010
91,145,Undirected,385,1987
91,224,Undirected,386,1987
91,285,Undirected,387,1987
92,107,Undirected,388,1988
95,172,Undirected,389,1992
