keyword	TC	Centrality	Burst	PY	BurstBegin	BurstEnd	Span	HalfLife2	Status	WaitingTime
University College London	18.0	0.015005491762181663	4.3124	2007	2019	2022	4	12.5	1	12
Harvard University	47.0	0.05510282873894995	5.9877	2006	2010	2012	3	7.5	1	4
Harvard Medical School	7.0	0.0	3.8275	2008	2008	2012	5	2.5	1	0
University of Groningen	30.0	0.03834975642888054	6.0643	1999	1999	2012	14	12.5	1	0
University of Southern California	21.0	0.0278739673185005	3.8549	2007	2016	2020	5	11.5	1	9
