Authors	Record Count	% of 1,870
Bohnett E	1	0.053
Bokanyi E	1	0.053
Boldrini C	1	0.053
Bollen J	1	0.053
Bonaventura M	1	0.053
Bond AJ	1	0.053
Bonell C	1	0.053
Bonney PR	1	0.053
Borck L	1	0.053
Bordeu I	1	0.053
Borgeaud C	1	0.053
Borges GL	1	0.053
Bornkessel AS	1	0.053
Bossomaier TRJ	1	0.053
Bottero W	1	0.053
Boucher V	1	0.053
Boudreau K	1	0.053
Bouffanais R	1	0.053
Boulianne S	1	0.053
Bourgoin J	1	0.053
Boutcher S	1	0.053
Bouton L	1	0.053
Bovet A	1	0.053
Bowser A	1	0.053
Brackbill D	1	0.053
Brady K	1	0.053
Braga A	1	0.053
Brailsford S	1	0.053
Brand M	1	0.053
Brandes U	1	0.053
Brands RA	1	0.053
Brask JB	1	0.053
Brass DJ	1	0.053
Brauer J	1	0.053
Bravo-merodio L	1	0.053
Brazil N	1	0.053
Brelsford C	1	0.053
Brennan AT	1	0.053
Brennan P	1	0.053
Brenner D	1	0.053
Breskin A	1	0.053
Brewer DD	1	0.053
Brindis CD	1	0.053
Brinkhues S	1	0.053
Brito IL	1	0.053
Britton T	1	0.053
Brochhausen M	1	0.053
Broda MD	1	0.053
Broders HG	1	0.053
Broere J	1	0.053
Broerse J	1	0.053
Bronsvoort BMD	1	0.053
Brookover J	1	0.053
Broska D	1	0.053
Brosnan SF	1	0.053
Brouwer KC	1	0.053
Brown C	1	0.053
Brown HCP	1	0.053
Brown TW	1	0.053
Brownstein JS	1	0.053
Bruinsma G	1	0.053
Bruno M	1	0.053
Bruno OM	1	0.053
Bruns A	1	0.053
Bryden J	1	0.053
Bu Z	1	0.053
Buchmann M	1	0.053
Budgey R	1	0.053
Buechel B	1	0.053
Buhalis D	1	0.053
Bukhanovsky AV	1	0.053
Bullinger M	1	0.053
Bullock S	1	0.053
Bumpus JP	1	0.053
Bunaciu DA	1	0.053
Burchard J	1	0.053
Burchard L	1	0.053
Burg R	1	0.053
Burger MJ	1	0.053
Burgess LG	1	0.053
Burk WJ	1	0.053
Burke M	1	0.053
Burke S	1	0.053
Burkell J	1	0.053
Burman OHP	1	0.053
Burns LR	1	0.053
Burns ZT	1	0.053
Burow J	1	0.053
Burroughs-girardi E	1	0.053
Bustamante X	1	0.053
Butkevica A	1	0.053
Byrne-smith A	1	0.053
Byshkin M	1	0.053
Barthélemy M	1	0.053
Baños RA	1	0.053
Belso-martínez JA	1	0.053
Berán E	1	0.053
Bodin Ö	1	0.053
Boëlle PY	1	0.053
Brañas-garza P	1	0.053
Bårdsen BJ	1	0.053
Büttner K	1	0.053
Cabral J	1	0.053
Caci B	1	0.053
Caduff A	1	0.053
Cai GS	1	0.053
Cai N	1	0.053
Cai SM	1	0.053
Cai XL	1	0.053
Caiani M	1	0.053
Caimo A	1	0.053
Calancie L	1	0.053
Calderoni F	1	0.053
Call S	1	0.053
Callaway RM	1	0.053
Cambraia C	1	0.053
Camerlink I	1	0.053
Camitz M	1	0.053
Can U	1	0.053
Cao JJ	1	0.053
Cao L	1	0.053
Cao M	1	0.053
Cao RM	1	0.053
Cao X	1	0.053
Cao XY	1	0.053
Cape J	1	0.053
Carbone G	1	0.053
Cardaci M	1	0.053
Cardoso D	1	0.053
Cardoso-silva J	1	0.053
Caren N	1	0.053
Carley K	1	0.053
Carnegie NB	1	0.053
Caro C	1	0.053
Carolan M	1	0.053
Carpentier N	1	0.053
Carpiano RM	1	0.053
Carpini MXD	1	0.053
Carr L	1	0.053
Carrell SE	1	0.053
Carspecken L	1	0.053
Carter A	1	0.053
Carter AJ	1	0.053
Carter GG	1	0.053
Carvalho S	1	0.053
Casado MAG	1	0.053
Casciaro T	1	0.053
Cash SB	1	0.053
Castilla EJ	1	0.053
Castioni P	1	0.053
Catania E	1	0.053
Caudell M	1	0.053
Cavalier D	1	0.053
Cavendish JC	1	0.053
Cavus N	1	0.053
Cecconi F	1	0.053
Celik B	1	0.053
Celis MR	1	0.053
Cencetti G	1	0.053
Centellegher S	1	0.053
Centeno MA	1	0.053
Centola DM	1	0.053
Cepic D	1	0.053
Ceri S	1	0.053
Cha M	1	0.053
Cha S	1	0.053
Chaffin BC	1	0.053
Chai D	1	0.053
Chakraborty M	1	0.053
Chamberlain MJ	1	0.053
Chami GF	1	0.053
Chamie G	1	0.053
Chan DM	1	0.053
Chandler MJ	1	0.053
Chang CY	1	0.053
Chang D	1	0.053
Chang HS	1	0.053
Chang HT	1	0.053
Chang RCF	1	0.053
Chang YS	1	0.053
Chao NP	1	0.053
Charbonnier F	1	0.053
Charette Y	1	0.053
Charness G	1	0.053
Chase ID	1	0.053
Chaturvedi A	1	0.053
Chaudhary N	1	0.053
Chaudhuri N	1	0.053
Chavalarias D	1	0.053
Chavez A	1	0.053
Chavez RS	1	0.053
Chavez S	1	0.053
Cheff R	1	0.053
Chen C	1	0.053
Chen FY	1	0.053
Chen GR	1	0.053
Chen HJ	1	0.053
Chen HL	1	0.053
Chen HQ	1	0.053
Chen HS	1	0.053
Chen QL	1	0.053
Chen TG	1	0.053
Chen WF	1	0.053
Chen X	1	0.053
Chen XS	1	0.053
Chen YC	1	0.053
Chen YD	1	0.053
Chen YJ	1	0.053
Chen YS	1	0.053
Chen YW	1	0.053
Chen ZX	1	0.053
Cheng C	1	0.053
Cheng JX	1	0.053
Cheng KF	1	0.053
Cheng LS	1	0.053
Cheng MT	1	0.053
Cheng MX	1	0.053
Cheng SM	1	0.053
Cheng T	1	0.053
Cheng WB	1	0.053
Cheng XK	1	0.053
Cheng XQ	1	0.053
Cheng XX	1	0.053
Cheng XY	1	0.053
Cherifi C	1	0.053
Cherifi H	1	0.053
Chetty R	1	0.053
Chew HE	1	0.053
Chi K	1	0.053
Chi YH	1	0.053
Chiang YS	1	0.053
Chien P	1	0.053
Cho HC	1	0.053
Cho J	1	0.053
Cho MH	1	0.053
Choi L	1	0.053
Choi T	1	0.053
Chomduangthip S	1	0.053
Chou P	1	0.053
Choudry S	1	0.053
Choueiri Y	1	0.053
Chouteau S	1	0.053
Chowdhury I	1	0.053
Christens BD	1	0.053
Christianson JB	1	0.053
Christoffel R	1	0.053
Christopher BP	1	0.053
Chu DH	1	0.053
Chu HC	1	0.053
Chu HR	1	0.053
Chua DB	1	0.053
Chunara R	1	0.053
Chung MH	1	0.053
Chwe JAH	1	0.053
Chykina V	1	0.053
Cimino MGCA	1	0.053
Ciocanea CM	1	0.053
Cioroianu I	1	0.053
Clark AM	1	0.053
Clark DA	1	0.053
Clark JJ	1	0.053
Clark K	1	0.053
Clark KA	1	0.053
Clark R	1	0.053
Clarke A	1	0.053
Claxton R	1	0.053
Clayton D	1	0.053
Coan T	1	0.053
Coates T	1	0.053
Cobb NK	1	0.053
Cobo-arroyo P	1	0.053
Coburn CE	1	0.053
Cockayne D	1	0.053
Coderre M	1	0.053
Coelho D	1	0.053
Coenders G	1	0.053
Cohan S	1	0.053
Cohn AM	1	0.053
Coletto M	1	0.053
Colleran H	1	0.053
Collier BA	1	0.053
Collischon M	1	0.053
Coman A	1	0.053
Comeig I	1	0.053
Conaldi G	1	0.053
Condon M	1	0.053
Cong GD	1	0.053
Conitzer V	1	0.053
Connor A	1	0.053
Consalvo M	1	0.053
Contandriopoulos D	1	0.053
Contisciani M	1	0.053
Contractor N	1	0.053
Contreras MG	1	0.053
Cook J	1	0.053
Cook JB	1	0.053
Cook JM	1	0.053
Cooper CB	1	0.053
Cooper DG	1	0.053
Cooper RS	1	0.053
Corbett BA	1	0.053
Corbin IM	1	0.053
Cormier J	1	0.053
Cornfield DB	1	0.053
Cornforth D	1	0.053
Cornwell EY	1	0.053
Coromina L	1	0.053
Correa AL	1	0.053
Corrigan JR	1	0.053
Coscia M	1	0.053
Cota W	1	0.053
Coutinho JA	1	0.053
Couto AC	1	0.053
Couzin ID	1	0.053
Covert JM	1	0.053
Cowan R	1	0.053
Cowen L	1	0.053
Cowlishaw G	1	0.053
Craft ME	1	0.053
Craker L	1	0.053
Cranmer SJ	1	0.053
Crates RA	1	0.053
Crawford ER	1	0.053
Crawford FW	1	0.053
Crawford JW	1	0.053
Cresci S	1	0.053
Cressman R	1	0.053
Crestani F	1	0.053
Cristancho C	1	0.053
Crofoot MC	1	0.053
Croft S	1	0.053
Crooks AT	1	0.053
Crosnoe R	1	0.053
Crudgington H	1	0.053
Crusto CA	1	0.053
Cruz N	1	0.053
Csermely P	1	0.053
Csizmadia Z	1	0.053
Cui AX	1	0.053
Cui HZ	1	0.053
Cui J	1	0.053
Cui XT	1	0.053
Cui YL	1	0.053
Culbreth G	1	0.053
Culina A	1	0.053
Cummings JN	1	0.053
Cunha E	1	0.053
Cunningham P	1	0.053
Curado M	1	0.053
Curiel RP	1	0.053
Curley D	1	0.053
Curley JP	1	0.053
Currie B	1	0.053
Currie P	1	0.053
Currin CB	1	0.053
Curtis R	1	0.053
Cutts BB	1	0.053
Czaplicka A	1	0.053
Czernek-marszalek K	1	0.053
Czerniawska D	1	0.053
Czobor P	1	0.053
Czupryna M	1	0.053
Czycholl I	1	0.053
Carrasco-farré C	1	0.053
Casero-ripollés A	1	0.053
Cauhé E	1	0.053
Claidière N	1	0.053
Coté R	1	0.053
Couronné T	1	0.053
Cáceres-delaguila JA	1	0.053
Córdoba C	1	0.053
D'ambrosio D	1	0.053
D'andrea V	1	0.053
D'este P	1	0.053
Da Rimini F	1	0.053
Da Silva MT	1	0.053
Dabelsteen T	1	0.053
Dadlani P	1	0.053
Daffertshofer A	1	0.053
Daher A	1	0.053
Dai HW	1	0.053
Dai LP	1	0.053
Dai QW	1	0.053
Dai WH	1	0.053
Dai YC	1	0.053
Dai ZX	1	0.053
Daim T	1	0.053
Damayanti R	1	0.053
Damm O	1	0.053
Daneshvar R	1	0.053
Dankowicz H	1	0.053
Dankulov MM	1	0.053
Dantzler PA	1	0.053
Daraganova G	1	0.053
Darmon D	1	0.053
Darrow WW	1	0.053
Das A	1	0.053
Dass M	1	0.053
Davidescu GA	1	0.053
Davidson N	1	0.053
Davis C	1	0.053
Davis OSP	1	0.053
Davis P	1	0.053
Davison ML	1	0.053
Dawson SE	1	0.053
De Alba IM	1	0.053
De Alegria-mancisidor IM	1	0.053
De Bacco C	1	0.053
De Cremer D	1	0.053
De Cuyper R	1	0.053
De Graaf ND	1	0.053
De Haan M	1	0.053
De Jaegher K	1	0.053
De La Haye K	1	0.053
De Mesa JC	1	0.053
De Montjoye YA	1	0.053
De Moor T	1	0.053
De Nicola R	1	0.053
De Nooy W	1	0.053
De Ruiter JP	1	0.053
De Vaan M	1	0.053
De Vries B	1	0.053
De Waegeneer E	1	0.053
Dechurch L	1	0.053
Dederichs K	1	0.053
Deguilhem T	1	0.053
Dehdarirad T	1	0.053
Dehghani M	1	0.053
Del Corral DF	1	0.053
Del Valle SY	1	0.053
Del Vicario M	1	0.053
Delay D	1	0.053
Delellis P	1	0.053
Delfino A	1	0.053
Delgado J	1	0.053
Dellinger JT	1	0.053
Dellnitz A	1	0.053
Demongeot J	1	0.053
Deng LH	1	0.053
Deng XL	1	0.053
Denny MJ	1	0.053
Depaula N	1	0.053
Derisi J	1	0.053
Derudder B	1	0.053
Desmarais BA	1	0.053
Desmet K	1	0.053
Desouza KC	1	0.053
Detels R	1	0.053
Dhir A	1	0.053
Di Sorrentino EP	1	0.053
Di Tommaso G	1	0.053
Di YN	1	0.053
Di ZR	1	0.053
Diakonova M	1	0.053
Diamant A	1	0.053
Diani M	1	0.053
Diaz EC	1	0.053
Diaz RD	1	0.053
Diaz-bone R	1	0.053
Diaz-guilera A	1	0.053
Dickinson MH	1	0.053
Dickmann EM	1	0.053
Dieleman M	1	0.053
Digrazia J	1	0.053
Dijkstra J	1	0.053
Dimeglio A	1	0.053
Dinapoli RJ	1	0.053
Ding H	1	0.053
Ding L	1	0.053
Ding XH	1	0.053
Ding Y	1	0.053
Dinh L	1	0.053
Dinh TN	1	0.053
Dion M	1	0.053
Dionne SD	1	0.053
Dirkzwager A	1	0.053
Disler G	1	0.053
Divita D	1	0.053
Dixon MM	1	0.053
Djibo O	1	0.053
Djulbegovic B	1	0.053
Doan TN	1	0.053
Dobbels L	1	0.053
Doblecki-lewis S	1	0.053
Dobrev SD	1	0.053
Dodge B	1	0.053
Doeschl-wilson A	1	0.053
Dokshin FA	1	0.053
Dokuka SF	1	0.053
Dombrowski K	1	0.053
Donato KM	1	0.053
Dong CQ	1	0.053
Donker TH	1	0.053
Donoghue AC	1	0.053
Dornhaus A	1	0.053
Dos Santos MA	1	0.053
Doty J	1	0.053
Douw J	1	0.053
Dover Y	1	0.053
Drach RD	1	0.053
Draper DA	1	0.053
Drobnic S	1	0.053
Du M	1	0.053
Du P	1	0.053
Du ZQ	1	0.053
Duadi H	1	0.053
Ducharme LJ	1	0.053
Dugas L	1	0.053
Dugundji ER	1	0.053
Duhoux A	1	0.053
Dukers-muijrers NH	1	0.053
Dunn WN	1	0.053
Dunne L	1	0.053
Durant KT	1	0.053
Dutta R	1	0.053
Dworkin J	1	0.053
Dwyer M	1	0.053
Dyble M	1	0.053
Dyson BP	1	0.053
Dzemski A	1	0.053
Derlén M	1	0.053
Dávid B	1	0.053
Dávid-barrett T	1	0.053
Dávila-torres CA	1	0.053
Díaz P	1	0.053
Díaz RD	1	0.053
Díaz-faes AA	1	0.053
Easter C	1	0.053
Easterbrook A	1	0.053
Eastmond J	1	0.053
Ebadi A	1	0.053
Eberl A	1	0.053
Ecker A	1	0.053
Ecker UKH	1	0.053
Eckl M	1	0.053
Economos C	1	0.053
Economos CD	1	0.053
Edelblute H	1	0.053
Edelmann A	1	0.053
Edenbrow M	1	0.053
Edwards R	1	0.053
Edwards WF	1	0.053
Eguiluz VM	1	0.053
Ehlert A	1	0.053
Ehrenfels J	1	0.053
Ehrenhard ML	1	0.053
Eilers R	1	0.053
Eisenberg DA	1	0.053
Eisnecker PS	1	0.053
El Hassouni M	1	0.053
Elder JP	1	0.053
Elhai JD	1	0.053
Elkenkamp S	1	0.053
Elliott L	1	0.053
Ellison N	1	0.053
Elmokashfi A	1	0.053
Elsweiler D	1	0.053
Emery C	1	0.053
Emich K	1	0.053
Emms R	1	0.053
Enduri MK	1	0.053
Enemark D	1	0.053
Engemann DA	1	0.053
Engle PJ	1	0.053
Enikolopov R	1	0.053
Ennett ST	1	0.053
Eppel EA	1	0.053
Epskamp S	1	0.053
Erar B	1	0.053
Erbach-schoenberg EZ	1	0.053
Eren I	1	0.053
Erhardt K	1	0.053
Ericson KMM	1	0.053
Erikson E	1	0.053
Ernst A	1	0.053
Ertan G	1	0.053
Escribano D	1	0.053
Espinosa-rada A	1	0.053
Eswaran H	1	0.053
Ettekal AV	1	0.053
Eum SY	1	0.053
Eveland WP	1	0.053
Evsukoff AG	1	0.053
Evtushenko A	1	0.053
Ezzeddine F	1	0.053
Eguíluz VM	1	0.053
Espín-noboa L	1	0.053
Facchetti G	1	0.053
Facchinetti S	1	0.053
Fagiolo G	1	0.053
Fahimipour AK	1	0.053
Faist T	1	0.053
Faletra M	1	0.053
Fallon S	1	0.053
Fam J	1	0.053
Fan B	1	0.053
Fan J	1	0.053
Fan LM	1	0.053
Fan R	1	0.053
Fancourt A	1	0.053
Fang AD	1	0.053
Fang BX	1	0.053
Fang CC	1	0.053
Fang KC	1	0.053
Fang YH	1	0.053
Fang Z	1	0.053
Fararo TJ	1	0.053
Farci M	1	0.053
Farhi F	1	0.053
Farish M	1	0.053
Fariss CJ	1	0.053
Faust L	1	0.053
Fazio LK	1	0.053
Fazito D	1	0.053
Federo R	1	0.053
Fedigan LM	1	0.053
Fedurek P	1	0.053
Fefferman NH	1	0.053
Fehrenbacher AE	1	0.053
Felsher M	1	0.053
Feng CX	1	0.053
Feng YX	1	0.053
Feng ZQ	1	0.053
Fennell PG	1	0.053
Fennema M	1	0.053
Ferdinand N	1	0.053
Feri F	1	0.053
Fernandes CAD	1	0.053
Fernandes MR	1	0.053
Fernandez RM	1	0.053
Ferrara C	1	0.053
Ferreira SC	1	0.053
Ferrer A	1	0.053
Ferrer D	1	0.053
Ferrer-rosell B	1	0.053
Feske S	1	0.053
Fichtel C	1	0.053
Fietz J	1	0.053
Finck C	1	0.053
Fire M	1	0.053
Firestone-cruz M	1	0.053
Fischhoff IR	1	0.053
Fisher ER	1	0.053
Fitzgibbon L	1	0.053
Flack A	1	0.053
Flaxman S	1	0.053
Fleischer RC	1	0.053
Fleischmann D	1	0.053
Fletcher A	1	0.053
Fletcher RJ	1	0.053
Fluegge RB	1	0.053
Foister S	1	0.053
Foley M	1	0.053
Fong K	1	0.053
Fonseca BD	1	0.053
Foon KWC	1	0.053
Forastiere L	1	0.053
Forber P	1	0.053
Ford WM	1	0.053
Foreman RK	1	0.053
Forthofer M	1	0.053
Fortier A	1	0.053
Foster DV	1	0.053
Foster JG	1	0.053
Fouad H	1	0.053
Fox AM	1	0.053
Fragopoulou P	1	0.053
Franceschi J	1	0.053
Franciosa PG	1	0.053
Francis MW	1	0.053
Francis SS	1	0.053
Franco DRA	1	0.053
Francos D	1	0.053
Frank K	1	0.053
Frank O	1	0.053
Franks DW	1	0.053
Frasca M	1	0.053
Freeberg TM	1	0.053
Freeman R	1	0.053
Frey S	1	0.053
Fridman M	1	0.053
Fridmanski E	1	0.053
Friedkin NE	1	0.053
Friedland R	1	0.053
Friedman R	1	0.053
Friel N	1	0.053
Friemel TN	1	0.053
Froncek P	1	0.053
Frost DM	1	0.053
Frost SDW	1	0.053
Fu GF	1	0.053
Fu L	1	0.053
Fu SL	1	0.053
Fu XM	1	0.053
Fuchs JD	1	0.053
Fuhse J	1	0.053
Fujii K	1	0.053
Fukuhara S	1	0.053
Fukuma S	1	0.053
Fullagar S	1	0.053
Fullerton AS	1	0.053
Funk S	1	0.053
Futch SE	1	0.053
Fernández M	1	0.053
Fernández-gracia J	1	0.053
Fernández-martínez E	1	0.053
Fernández-reyes D	1	0.053
Fernández-villa T	1	0.053
Fränken JP	1	0.053
Frödin OJ	1	0.053
Gabbay SM	1	0.053
Gabbriellini S	1	0.053
Gaby S	1	0.053
Gaisbauer F	1	0.053
Gajewski LG	1	0.053
Galen LW	1	0.053
Galily Y	1	0.053
Gallemore C	1	0.053
Gallo E	1	0.053
Gallos LK	1	0.053
Gambrah PP	1	0.053
Gambuzza LV	1	0.053
Ganin A	1	0.053
Gans K	1	0.053
Gao H	1	0.053
Gao J	1	0.053
Gao MY	1	0.053
Gao XY	1	0.053
Gao YC	1	0.053
Gao ZY	1	0.053
Garcia JO	1	0.053
Garcia-herranz M	1	0.053
Garcia-millan R	1	0.053
Garden P	1	0.053
Garfinkel SL	1	0.053
Gargiulo F	1	0.053
Garland J	1	0.053
Garlaschelli D	1	0.053
Garnett GP	1	0.053
Garofalo F	1	0.053
Garrod M	1	0.053
Garroway CJ	1	0.053
Garton L	1	0.053
Gasevic D	1	0.053
Gates AJ	1	0.053
Gattani AG	1	0.053
Gatti M	1	0.053
Gaudeul A	1	0.053
Gaumont N	1	0.053
Gauntlett D	1	0.053
Gauthier JA	1	0.053
Ge CB	1	0.053
Ge SK	1	0.053
Ge XY	1	0.053
Geana A	1	0.053
Gebhard A	1	0.053
Geers M	1	0.053
Geetha TV	1	0.053
Gefter A	1	0.053
Gehl RW	1	0.053
Gehrt SD	1	0.053
Geissler KH	1	0.053
Gendron M	1	0.053
Geng ST	1	0.053
Genkin M	1	0.053
George JF	1	0.053
Germann TC	1	0.053
Gershenson C	1	0.053
Gersick AS	1	0.053
Gesser-edelsburg A	1	0.053
Geyer-schulz A	1	0.053
Ghalmane Z	1	0.053
Ghani AC	1	0.053
Ghasemian A	1	0.053
Gheorghita A	1	0.053
Ghesmati R	1	0.053
Ghim GH	1	0.053
Ghita MC	1	0.053
Ghoshal G	1	0.053
Giannetti C	1	0.053
Giannoccaro I	1	0.053
Giap DH	1	0.053
Gibbs JL	1	0.053
Giese H	1	0.053
Giglietto F	1	0.053
Gil CR	1	0.053
Gil MA	1	0.053
Gil-egui G	1	0.053
Gilbertson M	1	0.053
Gill L	1	0.053
Giordano S	1	0.053
Girbino V	1	0.053
Giudici F	1	0.053
Giugni M	1	0.053
Gkoutos GV	1	0.053
Gladstone E	1	0.053
Glandon D	1	0.053
Glanz H	1	0.053
Gleave E	1	0.053
Gligorijevic V	1	0.053
Glover T	1	0.053
Godart F	1	0.053
Godel W	1	0.053
Godoy-lorite A	1	0.053
Goel M	1	0.053
Goel S	1	0.053
Gogaladze A	1	0.053
Goksu M	1	0.053
Golbeck J	1	0.053
Golbraich VB	1	0.053
Goldenberg J	1	0.053
Goldstein M	1	0.053
Goldstone RL	1	0.053
Golemiec M	1	0.053
Goliaei S	1	0.053
Golkar A	1	0.053
Golovchenko Y	1	0.053
Gomes MFC	1	0.053
Gomez CJ	1	0.053
Gomez D	1	0.053
Gomez-vazquez JP	1	0.053
Gomila A	1	0.053
Gong SR	1	0.053
Gong XF	1	0.053
Gong XL	1	0.053
Gong ZT	1	0.053
Gonzales AL	1	0.053
Gonzales G	1	0.053
Gonzalez C	1	0.053
Gonzalez F	1	0.053
Gonzalez M	1	0.053
Gonzalez R	1	0.053
Gonzalez V	1	0.053
Gonzalez YRR	1	0.053
Goodie AS	1	0.053
Goodman J	1	0.053
Goodman S	1	0.053
Goosby BJ	1	0.053
Gopalakrishnan GM	1	0.053
Gordon DM	1	0.053
Gordon Y	1	0.053
Gore RJ	1	0.053
Gose LE	1	0.053
Goto R	1	0.053
Govezensky T	1	0.053
Gozak N	1	0.053
Gracia P	1	0.053
Graham BS	1	0.053
Graif C	1	0.053
Granic I	1	0.053
Grashow R	1	0.053
Grassberger P	1	0.053
Green DM	1	0.053
Green HD	1	0.053
Greenberg J	1	0.053
Greetham DV	1	0.053
Greiner W	1	0.053
Grenfell B	1	0.053
Grenier A	1	0.053
Griffin AEC	1	0.053
Griffioen N	1	0.053
Griggio M	1	0.053
Grigolini P	1	0.053
Grigoryeva M	1	0.053
Grima M	1	0.053
Grindrod P	1	0.053
Grislain Q	1	0.053
Grondin A	1	0.053
Gronow A	1	0.053
Gross R	1	0.053
Gross T	1	0.053
Grosser B	1	0.053
Grote U	1	0.053
Grow A	1	0.053
Grund T	1	0.053
Grund TU	1	0.053
Gruzd A	1	0.053
Grzywinska I	1	0.053
Gu X	1	0.053
Guadalupi L	1	0.053
Gualda E	1	0.053
Guan SG	1	0.053
Guardo E	1	0.053
Guerra AM	1	0.053
Guerra-reyes L	1	0.053
Guetz A	1	0.053
Guevara JA	1	0.053
Guia J	1	0.053
Guilford T	1	0.053
Guillory JE	1	0.053
Gulia M	1	0.053
Gulotta NA	1	0.053
Guo CX	1	0.053
Guo JL	1	0.053
Guo L	1	0.053
Guo TY	1	0.053
Guo XY	1	0.053
Gupta G	1	0.053
Gyor AF	1	0.053
Galcanová L	1	0.053
García I	1	0.053
García MD	1	0.053
García-díaz C	1	0.053
García-ordás MT	1	0.053
García-rodríguez A	1	0.053
García-rodríguez I	1	0.053
González AD	1	0.053
González-casado MA	1	0.053
González-gordon L	1	0.053
Gonçalves MA	1	0.053
Gracia-lázaro C	1	0.053
Grönlund A	1	0.053
Guimerà R	1	0.053
Gulyás L	1	0.053
Gumí T	1	0.053
Gómez D	1	0.053
Gómez-gardeñes J	1	0.053
Gülen G	1	0.053
Günnemann S	1	0.053
Ha T	1	0.053
Haapanen KA	1	0.053
Haas WR	1	0.053
Habecker P	1	0.053
Haber N	1	0.053
Habinek J	1	0.053
Haerter JO	1	0.053
Hagen L	1	0.053
Haight M	1	0.053
Hail-jares K	1	0.053
Hajarathaiah K	1	0.053
Halavais AMC	1	0.053
Hale TM	1	0.053
Halgin DS	1	0.053
Halpin M	1	0.053
Halsey ES	1	0.053
Haman M	1	0.053
Hamdi AZ	1	0.053
Hamid H	1	0.053
Hamilton PB	1	0.053
Hamra J	1	0.053
Han C	1	0.053
Han DD	1	0.053
Han HW	1	0.053
Han J	1	0.053
Han JH	1	0.053
Han JT	1	0.053
Han XP	1	0.053
Han XY	1	0.053
Han Y	1	0.053
Han YT	1	0.053
Hancock JT	1	0.053
Hang Y	1	0.053
Hanna J	1	0.053
Hansen BD	1	0.053
Hansen D	1	0.053
Hao GZ	1	0.053
Hao LX	1	0.053
Haque MR	1	0.053
Haque MZ	1	0.053
Harlow S	1	0.053
Harp D	1	0.053
Harrison F	1	0.053
Harrison JA	1	0.053
Hart M	1	0.053
Hartley K	1	0.053
Hassan MM	1	0.053
Hassler G	1	0.053
Haupt A	1	0.053
Haverkate M	1	0.053
Havlir DV	1	0.053
Haworth CMA	1	0.053
Hayat Z	1	0.053
Haynes P	1	0.053
He DY	1	0.053
He JM	1	0.053
He LG	1	0.053
He M	1	0.053
He N	1	0.053
He W	1	0.053
He X	1	0.053
He Y	1	0.053
Headworth S	1	0.053
Healey B	1	0.053
Heaney MT	1	0.053
Heard R	1	0.053
Heath LS	1	0.053
Heckathorn DD	1	0.053
Hedberg EC	1	0.053
Heidler R	1	0.053
Heijmans N	1	0.053
Hein AM	1	0.053
Hein GF	1	0.053
Heine C	1	0.053
Heinzelmann R	1	0.053
Heiss R	1	0.053
Helleringer S	1	0.053
Hellermann C	1	0.053
Hemsley J	1	0.053
Henderson H	1	0.053
Hendren N	1	0.053
Hennessy E	1	0.053
Henning C	1	0.053
Henriksen LF	1	0.053
Henson W	1	0.053
Herdiansyah H	1	0.053
Hernandez EM	1	0.053
Herrmann J	1	0.053
Hershkovitz A	1	0.053
Herz A	1	0.053
Herzberg A	1	0.053
Hetrick WP	1	0.053
Heydari S	1	0.053
Hiam JW	1	0.053
Hidd VV	1	0.053
Hiemstra D	1	0.053
Higgins A	1	0.053
Higgins MC	1	0.053
Higham DJ	1	0.053
Highfield T	1	0.053
Hijazi R	1	0.053
Hilbert M	1	0.053
Hildebrand C	1	0.053
Hill JB	1	0.053
Hills T	1	0.053
Hilverda F	1	0.053
Himelboim I	1	0.053
Hinde CA	1	0.053
Hipp J	1	0.053
Hirsch BT	1	0.053
Hirschprung R	1	0.053
Hirshleifer D	1	0.053
Hirshman BR	1	0.053
Hlado P	1	0.053
Ho HC	1	0.053
Ho JM	1	0.053
Hobbs A	1	0.053
Hobbs WR	1	0.053
Hobson EA	1	0.053
Hoe C	1	0.053
Hoebe CJ	1	0.053
Hoek J	1	0.053
Hofer D	1	0.053
Hoff PD	1	0.053
Hoffman M	1	0.053
Hogan WR	1	0.053
Hojo M	1	0.053
Holcomb A	1	0.053
Holekamp KE	1	0.053
Holland K	1	0.053
Hollstein B	1	0.053
Holman D	1	0.053
Holman DJ	1	0.053
Holmes J	1	0.053
Holmes S	1	0.053
Holt G	1	0.053
Holt TJ	1	0.053
Holyst JA	1	0.053
Holzhauer S	1	0.053
Holzner A	1	0.053
Honda R	1	0.053
Honer WG	1	0.053
Hong CS	1	0.053
Hong JK	1	0.053
Hong V	1	0.053
Hong W	1	0.053
Hooghe M	1	0.053
Hoover J	1	0.053
Hoover R	1	0.053
Hopkins N	1	0.053
Hopper LM	1	0.053
Hoppitt W	1	0.053
Horlings E	1	0.053
Hosseinzadeh M	1	0.053
Hou J	1	0.053
Hou L	1	0.053
Hou SJ	1	0.053
Hou YTY	1	0.053
Houghteling C	1	0.053
Howe AC	1	0.053
Hozo I	1	0.053
Hristova D	1	0.053
Hsieh CS	1	0.053
Hsieh YP	1	0.053
Hsu SH	1	0.053
Hu FH	1	0.053
Hu HH	1	0.053
Huan XP	1	0.053
Huang BX	1	0.053
Huang CH	1	0.053
Huang CL	1	0.053
Huang DW	1	0.053
Huang DY	1	0.053
Huang HF	1	0.053
Huang JM	1	0.053
Huang JX	1	0.053
Huang MJ	1	0.053
Huang ML	1	0.053
Huang P	1	0.053
Huang RG	1	0.053
