Authors	Record Count	% of 1,870
Birkett M	2	0.107
Blake KR	2	0.107
Blanco M	2	0.107
Block P	2	0.107
Bojanowski M	2	0.107
Borgatti SP	2	0.107
Bouchard M	2	0.107
Bouchillon BC	2	0.107
Braha D	2	0.107
Bravo G	2	0.107
Breiger RL	2	0.107
Broccatelli C	2	0.107
Brooks B	2	0.107
Burton JW	2	0.107
Boguñá M	2	0.107
Caccioli F	2	0.107
Cao MJ	2	0.107
Capra L	2	0.107
Carney J	2	0.107
Cascio CN	2	0.107
Cattuto C	2	0.107
Cebula M	2	0.107
Chabot T	2	0.107
Chadha S	2	0.107
Chen B	2	0.107
Chen CYH	2	0.107
Chen S	2	0.107
Chen XJ	2	0.107
Chen XY	2	0.107
Chen Z	2	0.107
Cheng HC	2	0.107
Chesney T	2	0.107
Chey J	2	0.107
Chiroque LF	2	0.107
Choi S	2	0.107
Cimini G	2	0.107
Cointet JP	2	0.107
Colladon AF	2	0.107
Collet F	2	0.107
Conti M	2	0.107
Copeland M	2	0.107
Cotten SR	2	0.107
Coviello L	2	0.107
Cox RAV	2	0.107
Crockett MJ	2	0.107
Croft DP	2	0.107
Cuesta JA	2	0.107
Cugmas M	2	0.107
Cui L	2	0.107
Cui WT	2	0.107
Currarini S	2	0.107
Cárdenas JP	2	0.107
Darden SK	2	0.107
Davern M	2	0.107
David-barrett T	2	0.107
Davis JL	2	0.107
De Marco S	2	0.107
Del Fresno M	2	0.107
Dellaposta D	2	0.107
Dhand A	2	0.107
Di Clemente R	2	0.107
Di Stefano A	2	0.107
Diehl D	2	0.107
Dimaggio P	2	0.107
Dimitrova D	2	0.107
Doehne M	2	0.107
Dong YX	2	0.107
Donges JF	2	0.107
Dorning J	2	0.107
Drushel BE	2	0.107
Dörfler F	2	0.107
Eagle N	2	0.107
Eames KTD	2	0.107
Edling C	2	0.107
El Bhih A	2	0.107
Elmer T	2	0.107
Eom YH	2	0.107
Everett MG	2	0.107
Falk EB	2	0.107
Fan C	2	0.107
Farine DR	2	0.107
Faust K	2	0.107
Felmlee D	2	0.107
Firth JA	2	0.107
Fisher DR	2	0.107
Flammini A	2	0.107
Fletcher JB	2	0.107
Floyd TM	2	0.107
Franceschetti M	2	0.107
Franken R	2	0.107
Frenken K	2	0.107
Friedman SR	2	0.107
Fu F	2	0.107
Fu Y	2	0.107
Fu YC	2	0.107
Fuentes M	2	0.107
Fuhse JA	2	0.107
Gaito S	2	0.107
Gallotti R	2	0.107
Gamper M	2	0.107
Gan CQ	2	0.107
Gandica Y	2	0.107
Gao L	2	0.107
Gao Y	2	0.107
Garibay I	2	0.107
Garip F	2	0.107
Ghazzali R	2	0.107
Giordano G	2	0.107
Gloor PA	2	0.107
