Publication Titles	Record Count	% of 1,859
LECTURE NOTES IN ECONOMICS AND MATHEMATICAL SYSTEMS	1	0.054
LEISURE SCIENCES	2	0.108
MATHEMATICAL POPULATION STUDIES	1	0.054
MATHEMATICAL SOCIAL SCIENCES	5	0.269
MEDIA CULTURE SOCIETY	5	0.269
MEN AND MASCULINITIES	1	0.054
MINERVA	2	0.108
MOBILIZATION	1	0.054
MOVIMENTO	1	0.054
NATIONAL SCIENCE REVIEW	1	0.054
NATURE	8	0.430
NATURE COMMUNICATIONS	23	1.237
NATURE HUMAN BEHAVIOUR	15	0.807
NEGOTIATION JOURNAL	3	0.161
NETWORKS TOPOLOGY AND DYNAMICS THEORY AND APPLICATIONS TO ECONOMICS AND SOCIAL SYSTEMS	1	0.054
NEW SCIENTIST	2	0.108
NONLINEAR DYNAMICS PSYCHOLOGY AND LIFE SCIENCES	1	0.054
OXFORD BULLETIN OF ECONOMICS AND STATISTICS	1	0.054
PATIENT EDUCATION AND COUNSELING	2	0.108
PEERJ	2	0.108
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES	2	0.108
PLOS ONE	242	13.018
POETICS	6	0.323
POLICY SCIENCES	3	0.161
POLISH SOCIOLOGICAL REVIEW	1	0.054
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES INDIA SECTION A PHYSICAL SCIENCES	1	0.054
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	78	4.196
PROCEEDINGS OF THE ROYAL SOCIETY A MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES	6	0.323
PSYCHOMETRIKA	4	0.215
PUBLIC OPINION QUARTERLY	2	0.108
QME QUANTITATIVE MARKETING AND ECONOMICS	4	0.215
QUALITATIVE HEALTH RESEARCH	2	0.108
QUALITATIVE RESEARCH	1	0.054
QUALITY QUANTITY	13	0.699
RATIONALITY AND SOCIETY	7	0.377
RESEARCH	1	0.054
RESEARCH IN ORGANIZATIONAL BEHAVIOR	1	0.054
RESEARCH IN ORGANIZATIONAL BEHAVIOR VOL 22 2000	1	0.054
RESEARCH IN SOCIAL STRATIFICATION AND MOBILITY	1	0.054
REVIEW OF ECONOMICS AND STATISTICS	2	0.108
REVIEW OF RELIGIOUS RESEARCH	4	0.215
REVISTA DE CERCETARE SI INTERVENTIE SOCIALA	1	0.054
REVISTA ESPANOLA DE INVESTIGACIONES SOCIOLOGICAS	9	0.484
REVISTA INTERNACIONAL DE SOCIOLOGIA	2	0.108
REVUE FRANCAISE DE SOCIOLOGIE	4	0.215
RISK ANALYSIS	3	0.161
RISK MANAGEMENT AN INTERNATIONAL JOURNAL	1	0.054
ROYAL SOCIETY OPEN SCIENCE	21	1.130
RURAL SOCIOLOGY	2	0.108
SAGE OPEN	19	1.022
SCIENCE	6	0.323
SCIENCE ADVANCES	10	0.538
SCIENCE AND ENGINEERING ETHICS	1	0.054
SCIENCE PROGRESS	2	0.108
SCIENTIFIC REPORTS	160	8.607
SCIENTIFIC WORLD JOURNAL	5	0.269
SEXUALITIES	1	0.054
SEXUALITY RESEARCH AND SOCIAL POLICY	1	0.054
SOCIAL CHOICE AND WELFARE	1	0.054
SOCIAL FORCES	19	1.022
SOCIAL INCLUSION	5	0.269
SOCIAL INDICATORS RESEARCH	10	0.538
SOCIAL MOVEMENT STUDIES	6	0.323
SOCIAL NETWORKS	230	12.372
SOCIAL PROBLEMS	6	0.323
SOCIAL SCIENCE COMPUTER REVIEW	33	1.775
SOCIAL SCIENCE JOURNAL	7	0.377
SOCIAL SCIENCE QUARTERLY	3	0.161
SOCIAL SCIENCE RESEARCH	20	1.076
SOCIETY AND MENTAL HEALTH	1	0.054
SOCIETY NATURAL RESOURCES	10	0.538
SOCIO ECONOMIC REVIEW	4	0.215
SOCIOLOGIA	1	0.054
SOCIOLOGICAL FORUM	6	0.323
SOCIOLOGICAL INQUIRY	1	0.054
SOCIOLOGICAL METHODOLOGY	12	0.646
SOCIOLOGICAL METHODOLOGY 1996 VOL 26	1	0.054
SOCIOLOGICAL METHODOLOGY 1999 VOL 29	1	0.054
SOCIOLOGICAL METHODOLOGY 2001 VOL 31	1	0.054
SOCIOLOGICAL METHODOLOGY 2002 VOL 32	1	0.054
SOCIOLOGICAL METHODOLOGY 2007 VOL 37	1	0.054
